"year","tmin","state","site","lat","label"
2016,17.752131147541,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2017,17.9024590163934,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2018,18.1313114754098,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2019,17.5726229508197,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2020,18.4368852459016,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2021,18.7096721311475,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2022,17.7886885245902,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2023,17.3508196721311,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2024,17.5829508196721,"IA","Ames",42.03,"IA - Ames (42.0 N)"
2025,18.6575409836066,"IA","Ames",42.03,"IA - Ames (42.0 N)"
1981,14.9026229508197,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1982,13.8986885245902,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1983,15.7708196721311,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1984,14.5852459016393,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1985,13.4596721311475,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1986,15.1568852459016,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1987,17.4970491803279,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1988,17.3998360655738,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1989,15.1486885245902,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1990,14.8586885245902,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1991,16.0804918032787,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1992,13.0191803278689,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1993,13.6418032786885,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1994,14.8522950819672,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1995,15.5772131147541,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1996,14.5631147540984,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1997,15.8295081967213,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1998,15.2273770491803,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
1999,15.7462295081967,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2000,14.3296721311475,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2001,15.5201639344262,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2002,17.255737704918,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2003,14.8793442622951,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2004,13.6216393442623,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2005,17.3304918032787,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2006,16.8613114754098,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2007,16.3270491803279,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2008,14.9804918032787,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2009,13.9947540983607,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2010,16.0204918032787,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2011,16.6849180327869,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
2012,17.6183606557377,"MN","Waseca",44.073,"MN - Waseca (44.1 N)"
