location,year,month,min_mint,mean_mint,mean_maxt,avg_t,cum_radn,cum_rain,above_32,above_35,mean_vpd,mean_rh
harrisburg_neerec,1988,july,16.61,21.886129032258065,33.035806451612906,27.460967741935484,657.78,173.43,21,6,1.1848947444443176,67.87193548387097
harrisburg_neerec,1988,august,12.44,23.123548387096776,35.58548387096774,29.35451612903226,641.47,48.33,27,21,1.6711434099315687,59.516129032258064
harrisburg_neerec,1988,september,9.08,17.697333333333333,30.444666666666667,24.071,496.85,133.36,11,2,0.9781241039523904,67.22766666666666
harrisburg_neerec,1989,april,-2.36,9.341,20.168,14.7545,598.29,59.67,0,0,0.3582205496877764,78.52833333333334
harrisburg_neerec,1989,may,4.13,13.766451612903225,24.654516129032256,19.210483870967742,624.38,123.63,0,0,0.4555054786198836,79.23806451612903
harrisburg_neerec,1989,june,12.32,19.163333333333334,27.579333333333334,23.371333333333332,609.8,161.55,0,0,0.502712064899146,82.49466666666666
harrisburg_neerec,1989,july,16.98,21.260645161290324,29.589032258064517,25.42483870967742,668.48,110.12,4,0,0.5744342529977324,82.47387096774193
harrisburg_neerec,1989,august,12.11,20.738709677419354,31.175806451612903,25.95725806451613,666.41,44.19,12,0,0.8759223913220537,73.63548387096775
harrisburg_neerec,1989,september,4.82,16.101333333333333,27.250333333333334,21.675833333333333,458.82,124.92,6,0,0.6618714910432206,74.54733333333333
harrisburg_neerec,1990,april,-2.95,8.366,20.60333333333333,14.484666666666666,575.72,160.06,0,0,0.34197466367645196,78.41833333333334
harrisburg_neerec,1990,may,7.69,13.822903225806451,24.21258064516129,19.017741935483873,567.42,171.32,0,0,0.3945152555105845,81.79903225806451
harrisburg_neerec,1990,june,11.84,19.852666666666668,30.289,25.070833333333333,745.82,70.25,8,0,0.7103276936407523,77.84033333333333
harrisburg_neerec,1990,july,14.14,21.36193548387097,32.80870967741936,27.085322580645162,732.49,47.71,22,5,1.1817331064357823,67.5725806451613
harrisburg_neerec,1990,august,14.79,21.103548387096772,34.25064516129032,27.677096774193547,674.13,52,22,14,1.5327627016400032,59.74709677419355
harrisburg_neerec,1990,september,7.54,19.429333333333332,31.717666666666666,25.5735,501.95,78.81,14,6,1.308822739137885,62.026666666666664
harrisburg_neerec,1991,april,5.45,12.262666666666666,22.136333333333333,17.1995,526.86,343.63,0,0,0.3114187662797666,83.38066666666667
harrisburg_neerec,1991,may,7.27,18.174193548387098,26.170967741935485,22.17258064516129,606.72,148.58,0,0,0.3341485715254522,87.1825806451613
harrisburg_neerec,1991,june,17.04,20.975666666666665,29.110666666666667,25.043166666666668,675.72,95.7,2,0,0.5362967067247654,83.14233333333334
harrisburg_neerec,1991,july,16.79,21.563225806451612,31.08967741935484,26.326451612903227,763.96,44.23,10,0,0.779020944248674,77.2574193548387
harrisburg_neerec,1991,august,14.03,20.475161290322582,30.99516129032258,25.73516129032258,647.96,103.91,8,0,0.9355065674647385,71.63709677419355
harrisburg_neerec,1991,september,5.45,17.188,27.805666666666667,22.496833333333335,535.72,53.54,6,0,0.7642297277993638,70.982
harrisburg_neerec,1992,april,-1.79,9.204333333333333,21.104333333333333,15.154333333333334,621.34,55.2,0,0,0.38166950255730997,77.56533333333333
harrisburg_neerec,1992,may,5.09,13.931935483870967,24.89677419354839,19.414354838709677,695.99,69.81,0,0,0.5658269108447548,74.85225806451612
