"location","year","longitude","latitude","mean_mint","mean_maxt","avg_t","nightT","dayT","nightT_irr","nightT_elev","mint_hr","night_agree","n_night_hr","n_day_hr","n_days","n_missing","night_minus_mint"
"Harrisburg",2024,-90.7097209153416,35.6583094086273,21.6,32.4,27,23.72145,29.1904404761905,23.72145,23.4228571428571,21.8035,0.944444444444444,600,840,60,0,2.12145
"Keiser",2010,-90.0803853765363,35.6763273319075,23,32.8,27.9,24.762868852459,30.0544496487119,24.762868852459,24.4874159292035,22.9596721311475,0.947404371584699,610,854,61,0,1.76286885245902
"Keiser",2011,-90.0803853765363,35.6763273319075,22.8,33.4,28.1,24.8464590163934,30.3367681498829,24.8464590163934,24.5442300884956,22.7845901639344,0.947404371584699,610,854,61,0,2.04645901639344
"Keiser",2012,-90.0803853765363,35.6763273319075,21.6,34.3,27.9,24.0788666666667,30.6123095238095,24.0788666666667,23.7509712230216,21.7265,0.947222222222222,600,840,60,0,2.47886666666666
"Keiser",2013,-90.0803853765363,35.6763273319075,20.1,30.2,25.2,22.0882950819672,27.3319086651054,22.0882950819672,21.8091150442478,20.2880327868852,0.947404371584699,610,854,61,0,1.98829508196721
"Keiser",2015,-90.0803853765363,35.6763273319075,22.7,32.2,27.4,24.2257704918033,29.1488992974239,24.2257704918033,24.0169557522124,22.6432786885246,0.947404371584699,610,854,61,0,1.52577049180328
"Keiser",2016,-90.0803853765363,35.6763273319075,22.5,31.7,27.1,24.3614666666667,29.1532619047619,24.3614666666667,24.108345323741,22.6803333333333,0.947222222222222,600,840,60,0,1.86146666666667
"Keiser",2017,-90.0803853765363,35.6763273319075,21.3,31.4,26.3,23.2315737704918,28.5285597189696,23.2315737704918,22.9732389380531,21.3780327868852,0.947404371584699,610,854,61,0,1.9315737704918
"Keiser",2018,-90.0803853765363,35.6763273319075,22.4,31.8,27.1,24.1896721311475,29.0158782201405,24.1896721311475,23.8990088495575,22.5439344262295,0.947404371584699,610,854,61,0,1.78967213114754
"Keiser",2019,-90.0803853765363,35.6763273319075,21.2,29.9,25.5,22.8733606557377,27.3607611241218,22.8733606557377,22.6371150442478,21.3180327868852,0.947404371584699,610,854,61,0,1.67336065573771
"Keiser",2020,-90.0803853765363,35.6763273319075,21.7,31,26.3,23.4808666666667,28.382880952381,23.4808666666667,23.2559712230216,21.787,0.947222222222222,600,840,60,0,1.78086666666667
"Keiser",2021,-90.0803853765363,35.6763273319075,21.3,30.6,26,23.1316065573771,27.9647540983607,23.1316065573771,22.902796460177,21.4980327868852,0.947404371584699,610,854,61,0,1.83160655737705
"Keiser",2022,-90.0803853765363,35.6763273319075,22,33.7,27.8,24.3644754098361,30.2806791569087,24.3644754098361,24.0849557522124,22.2206557377049,0.947404371584699,610,854,61,0,2.36447540983606
"Keiser",2023,-90.0803853765363,35.6763273319075,20.9,31.7,26.3,22.963131147541,28.496850117096,22.963131147541,22.6926194690265,21.1024590163934,0.947404371584699,610,854,61,0,2.06313114754099
"Marianna",2010,-90.7659902077109,34.7352455391584,23.8,35.3,29.6,25.7682950819672,31.8965339578454,25.7682950819672,25.4420557491289,23.812131147541,0.941256830601093,610,854,61,0,1.96829508196721
"Marianna",2011,-90.7659902077109,34.7352455391584,23.9,36.1,30,26.045,32.4754449648712,26.045,25.7015853658537,23.8722950819672,0.941256830601093,610,854,61,0,2.145
"Marianna",2012,-90.7659902077109,34.7352455391584,22.3,35.2,28.8,24.6993333333333,31.3888095238095,24.6993333333333,24.3659115044248,22.4313333333333,0.940972222222222,600,840,60,0,2.39933333333333
"Marianna",2014,-90.7659902077109,34.7352455391584,20.6,30.1,25.3,22.4420819672131,27.3027517564403,22.4420819672131,22.1440243902439,20.8013114754098,0.941256830601093,610,854,61,0,1.84208196721311
"Marianna",2015,-90.7659902077109,34.7352455391584,23.1,33.5,28.3,24.737868852459,30.1787119437939,24.737868852459,24.5073519163763,23.0773770491803,0.941256830601093,610,854,61,0,1.63786885245901
"Marianna",2016,-90.7659902077109,34.7352455391584,23.3,33.9,28.6,25.2070666666667,30.7480357142857,25.2070666666667,24.9168672566372,23.3396666666667,0.940972222222222,600,840,60,0,1.90706666666667
"Marianna",2018,-90.7659902077109,34.7352455391584,23.1,33.8,28.4,25.132737704918,30.586850117096,25.132737704918,24.8029442508711,23.264262295082,0.941256830601093,610,854,61,0,2.03273770491803
"Marianna",2019,-90.7659902077109,34.7352455391584,21.6,30.5,26,23.3368852459016,27.9280210772834,23.3368852459016,23.1056445993031,21.7968852459016,0.941256830601093,610,854,61,0,1.73688524590164
"Marianna",2021,-90.7659902077109,34.7352455391584,21.8,31.1,26.4,23.4577540983607,28.2775644028103,23.4577540983607,23.2306097560976,21.8759016393443,0.941256830601093,610,854,61,0,1.65775409836066
"Marianna",2022,-90.7659902077109,34.7352455391584,22.8,34.7,28.8,25.0848524590164,31.2798829039813,25.0848524590164,24.7809407665505,22.9970491803279,0.941256830601093,610,854,61,0,2.28485245901639
"Marianna",2023,-90.7659902077109,34.7352455391584,22,33.3,27.6,23.9607540983607,29.7716744730679,23.9607540983607,23.6493031358885,22.0286885245902,0.941256830601093,610,854,61,0,1.96075409836066
"Marianna",2024,-90.7659902077109,34.7352455391584,22.3,33.5,27.9,24.3904,30.1880119047619,24.3904,24.0667079646018,22.4701666666667,0.940972222222222,600,840,60,0,2.0904
"Rohwer",2010,-91.2689224127264,33.810428919874,24.3,36.2,30.2,26.3509672131148,32.643793911007,26.3509672131148,25.9531965811966,24.3352459016393,0.933743169398907,610,854,61,0,2.05096721311475
"Rohwer",2011,-91.2689224127264,33.810428919874,24.6,37.7,31.1,26.9583442622951,33.6921428571429,26.9583442622951,26.5415384615385,24.6309836065574,0.933743169398907,610,854,61,0,2.35834426229508
"Rohwer",2012,-91.2689224127264,33.810428919874,22.5,35.5,29,24.8576166666667,31.5283095238095,24.8576166666667,24.5157118055556,22.61,0.933333333333333,600,840,60,0,2.35761666666667
"Rohwer",2013,-91.2689224127264,33.810428919874,21.8,34.3,28.1,24.1676557377049,30.4553278688525,24.1676557377049,23.7831282051282,21.8744262295082,0.933743169398907,610,854,61,0,2.36765573770492
"Rohwer",2014,-91.2689224127264,33.810428919874,20.9,31.1,26,22.8148852459016,28.0813114754098,22.8148852459016,22.478905982906,21.0595081967213,0.933743169398907,610,854,61,0,1.91488524590164
"Rohwer",2015,-91.2689224127264,33.810428919874,23.3,34.2,28.8,25.0764590163934,30.6832084309133,25.0764590163934,24.7898974358974,23.2675409836066,0.933743169398907,610,854,61,0,1.77645901639344
"Rohwer",2016,-91.2689224127264,33.810428919874,23.4,34.3,28.8,25.302,30.9945357142857,25.302,25.0004861111111,23.472,0.933333333333333,600,840,60,0,1.902
"Rohwer",2017,-91.2689224127264,33.810428919874,22,32.9,27.5,23.977737704918,29.5679391100703,23.977737704918,23.6711452991453,22.1134426229508,0.933743169398907,610,854,61,0,1.97773770491803
"Rohwer",2018,-91.2689224127264,33.810428919874,23.5,34.9,29.2,25.6110163934426,31.4708899297424,25.6110163934426,25.2561025641026,23.6406557377049,0.933743169398907,610,854,61,0,2.11101639344262
"Rohwer",2019,-91.2689224127264,33.810428919874,21.8,31.4,26.6,23.6736721311475,28.5677166276347,23.6736721311475,23.4067692307692,22.0424590163934,0.933743169398907,610,854,61,0,1.87367213114754
"Rohwer",2021,-91.2689224127264,33.810428919874,21.9,31.3,26.6,23.6059016393443,28.5073302107728,23.6059016393443,23.3430427350427,22.0198360655738,0.933743169398907,610,854,61,0,1.70590163934427
"Rohwer",2022,-91.2689224127264,33.810428919874,23.4,35.5,29.4,25.5628360655738,31.8746604215457,25.5628360655738,25.2202735042735,23.462131147541,0.933743169398907,610,854,61,0,2.16283606557377
"Rohwer",2023,-91.2689224127264,33.810428919874,22.5,33.9,28.2,24.4778360655738,30.309718969555,24.4778360655738,24.1489743589744,22.4496721311475,0.933743169398907,610,854,61,0,1.97783606557377
"Rohwer",2024,-91.2689224127264,33.810428919874,22.5,33.9,28.2,24.6631166666667,30.4661428571429,24.6631166666667,24.3386111111111,22.6936666666667,0.933333333333333,600,840,60,0,2.16311666666667
"Stuttgart",2010,-91.4207784898741,34.4758317966178,24,35.5,29.7,25.9194918032787,32.0487119437939,25.9194918032787,25.5395008605852,23.967868852459,0.936475409836066,610,854,61,0,1.91949180327869
"Stuttgart",2011,-91.4207784898741,34.4758317966178,24,36.4,30.2,26.2199508196721,32.631943793911,26.2199508196721,25.8477969018933,24.0288524590164,0.936475409836066,610,854,61,0,2.21995081967213
