"state","site","lat","year","nightT","label"
"MO","Columbia",38.952,2001,20.8684285714286,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2002,21.5660323159785,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2003,20.3215563506261,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2004,19.8842700729927,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2005,22.4028288288288,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2006,21.5783662477558,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2007,20.6275899280576,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2008,20.9035766423358,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2009,20.0695698924731,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2010,22.6443727598566,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2011,23.2367870036101,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2012,23.4311559633028,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2013,19.925368043088,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2014,20.2555315315315,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2015,21.6905903398927,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2016,22.5171897810219,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2017,21.4671505376344,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2018,22.9558844765343,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2019,20.914928057554,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2020,21.8482385321101,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2021,21.244633273703,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2022,22.4326607142857,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2023,22.1458781362007,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2024,21.6391256830601,"MO - Columbia (39.0 N)"
"MO","Columbia",38.952,2025,22.5805008944544,"MO - Columbia (39.0 N)"
"IA","Ames",42.03,2001,19.1437158469945,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2002,21.232058287796,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2003,18.2690528233151,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2004,17.5699259259259,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2005,20.7751001821494,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2006,20.8191985428051,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2007,19.0684335154827,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2008,18.6659814814815,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2009,17.412058287796,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2010,19.9132545454545,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2011,20.4542363636364,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2012,22.0178558225508,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2013,18.2673224043716,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2014,18.0938181818182,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2015,18.7467395264117,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2016,19.9158518518519,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2017,20.2664298724954,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2018,20.331724137931,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2019,19.5907103825137,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2020,20.7714259259259,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2021,21.1857012750455,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2022,20.24970856102,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2023,19.9157012750455,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2024,19.7165555555556,"IA - Ames (42.0 N)"
"IA","Ames",42.03,2025,20.8944444444444,"IA - Ames (42.0 N)"
"MN","Waseca",44.073,2001,18.0870888468809,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2002,19.9179439252336,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2003,17.5483612662942,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2004,16.2049146110057,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2005,19.6674301675978,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2006,19.4605992509363,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2007,19.1177861163227,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2008,17.4889101338432,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2009,16.3652808988764,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2010,18.5300931098696,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2011,19.0039703153989,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2012,20.4168060836502,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2013,17.3915083798883,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2014,16.9360335195531,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2015,17.8351588785047,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2016,18.5107335907336,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2017,17.8351228733459,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2018,18.7255679702048,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2019,18.3516759776536,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2020,19.1476923076923,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2021,20.0445368620038,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2022,19.2321200750469,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2023,18.7818656716418,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2024,18.0953510436433,"MN - Waseca (44.1 N)"
"MN","Waseca",44.073,2025,19.3247970479705,"MN - Waseca (44.1 N)"
